,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
281,41362.41835872131,44382.26612723901,44214.57400206888,45975.72260965672,43983.74527442148
291,41342.44099161514,43385.909433342975,44084.73140443045,45337.52128405735,43537.65077836148
301,41006.29841280465,42783.04267443206,43689.81984785327,45149.70399137762,43157.2162316169
311,40645.10287561835,42720.65312534906,42622.77040806601,44677.62221390259,42666.537155734004
321,40124.35501044721,42284.82149088579,42364.94737512824,44637.815514444614,42352.98484772646
331,40124.35501044721,42284.82149088579,42197.48883590943,44304.5450724849,42227.80260243183
341,39698.80075755729,41675.34080842204,42197.48883590943,43970.97164792267,41885.65051245286
351,39698.80075755729,41314.20927041557,42117.060257565325,43970.97164792267,41775.260483365215
361,39116.916746280214,40409.86350895275,41888.14764682143,42951.614827633435,41091.635682421955
371,38190.2445844792,40383.36476116174,41563.92933442453,42945.33373053368,40770.71810264979
381,38092.41461344911,39932.18775367658,41265.26747963888,42945.33373053368,40558.800894324566
391,37862.38828644851,39234.903225599795,41227.00040977623,42213.36167917876,40134.41340025082
401,37862.38828644851,38729.90782867301,40914.22129802472,41433.52023983347,39735.00941324493
411,37843.78294244669,38384.57462675792,40397.43245839496,41433.52023983347,39514.827566858265
421,37035.11584711837,37451.949404300554,40360.17092115821,41299.648933266915,39036.721276461016
431,36864.098392938715,37451.949404300554,39527.726973155135,40711.32671721389,38638.77537190207
441,36601.52103739002,37341.22566751665,39395.824519347174,40711.32671721389,38512.474485366925
451,36570.9882820526,36778.94379914488,39367.76366049818,40155.85530424733,38218.38776148575
461,36213.05907514831,36636.27708492819,38498.38567930388,39884.77653498358,37808.12459359098
471,35989.5786748759,36377.75917908618,38498.38567930388,39674.84208686347,37635.14140503236
481,35830.59077357661,36377.75917908618,38498.38567930388,39400.54909476548,37526.82118168304
491,35054.70687170878,35628.969422138274,38283.35231398548,39397.93613817582,37091.24118650209
501,35054.70687170878,35487.8399517413,38283.35231398548,39158.154477044256,36996.01340361995
511,34545.67954259669,35487.8399517413,38283.35231398548,39158.154477044256,36868.75657134193
521,34462.54454894752,35444.06431124716,38283.35231398548,38946.58674131097,36784.13697887278
531,34428.66571043969,35389.75992782607,38012.04122769282,38946.58674131097,36694.26340181739
541,34357.15877597164,34932.62782188966,37884.34277237422,38946.58674131097,36530.179027886625
551,34114.721907350184,34932.62782188966,37872.6930386207,38444.128770954776,36341.04288470383
561,33811.89935817878,34712.14411964717,37782.48270148376,38444.128770954776,36187.66373756612
571,33640.24909251854,34279.98936268392,37329.3099062806,38444.128770954776,35923.419283109455
581,33370.660486765424,34279.98936268392,37004.371927129876,38352.8912805967,35751.97826429398
591,33370.660486765424,34092.39662317895,36888.54513576238,38332.42934737786,35671.00789827116
601,33364.699516891145,34092.39662317895,36888.54513576238,37794.79129932263,35535.10814378878
611,33303.30978179661,34092.39662317895,36888.54513576238,37743.77367135045,35507.0063030221
621,33276.44761874137,33919.733462765704,36707.96025668568,36836.98863759943,35185.28249394804
631,32750.12101532513,33919.733462765704,35996.5973680021,36467.142166570615,34783.39850316588
641,32619.80010172197,33849.02925302586,35996.5973680021,36197.249007767394,34665.66893262933
651,32411.892945931744,33811.90334845286,35644.264166173445,36153.525285584255,34505.39643653558
661,32411.892945931744,33647.41818450465,35219.97606612291,36153.525285584255,34358.203120535894
671,32411.892945931744,33647.41818450465,35219.97606612291,36086.980114298996,34341.566827714574
681,32393.28548969077,33275.61522991068,34991.199443744445,36086.980114298996,34186.77006941122
691,31973.85698792119,33229.45700810496,34769.280708400365,36020.092639980634,33998.171836101785
701,31973.85698792119,33153.91817806578,34571.57082637017,35999.39264686977,33924.68465980673
711,31973.85698792119,33153.91817806578,34334.2345172903,35622.52388184278,33771.13339128001
721,31973.85698792119,32917.044360180145,34271.23667546018,35543.75602570842,33676.47351231748
731,31231.09393185977,32853.60749591246,34165.52122093348,35543.75602570842,33448.49466860353
741,31231.09393185977,32644.983935748216,34165.52122093348,35543.75602570842,33396.33877856247
751,31061.02204759151,32250.53446719977,33944.408145353176,35358.346719513655,33153.57784491453
761,31061.02204759151,32250.53446719977,33549.581208482305,35252.398472419576,33028.38404892329
