,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
511,85545.4859978496,85388.59231359896,90584.29960057807,85116.47384961929,86658.71294041148
521,86146.72191394774,85227.9339090787,89849.87794846398,85232.37382380955,86614.226898825
531,86640.89520450553,82306.73094246695,91489.57307040776,85896.70869565112,86583.47697825784
541,86948.71951124737,84077.77093310667,91527.13798660836,87563.55139996733,87529.29495773243
551,87332.61661231832,84929.82261003715,89668.52758390304,86213.08497625987,87036.0129456296
561,83970.8620265582,88237.39654708044,85401.61309909311,86235.88155924967,85961.43830799535
571,86303.15326989524,88104.02182627445,84807.60933781987,86799.59879411636,86503.59580702648
581,88261.43391976293,88582.2403137402,85171.2518654572,88632.70517056038,87661.90781738018
591,89038.01916316674,88195.18255417091,85003.38915689688,88378.1664350116,87653.68932731154
601,87220.9953278809,85696.4112566284,86926.41766388308,89832.8589499482,87419.17079958515
611,88488.2338405107,86163.46558588643,85295.3145988389,89052.43308197348,87249.86177680237
621,84995.2862572529,88699.82543615693,87708.45182837386,88776.687200418,87545.06268055041
631,84107.54032056266,88265.20060595151,88276.61851348101,87724.43952343188,87093.44974085677
641,86145.42453886337,87849.66829839558,87932.20508794056,85801.6126846259,86932.22765245635
651,84502.70171960011,87428.18534775505,87097.41352857239,87916.88064913916,86736.29531126667
661,83187.37992235794,85329.01975009454,86367.33297624628,84818.81741280257,84925.63751537533
671,85611.32298977266,89042.83629469253,87372.53619841371,84074.29019796156,86525.24642021011
681,87529.51791627312,89837.16589087526,84385.69980946826,86279.13674826908,87007.88009122142
691,87183.59653985244,89997.08527195682,82526.5739480076,85955.2649237623,86415.63017089479
701,84401.27581104648,88083.4580886012,86370.2462634055,85872.95632257975,86181.98412140823
711,83677.02991290043,88324.5984656177,87355.08259989166,85049.89765779588,86101.65215905142
721,84548.9688605427,87517.79830748122,84033.35944450925,84785.68750776378,85221.45353007424
731,85168.10695380048,88950.38601068869,85627.88097791727,85770.58665248302,86379.24014872237
741,85073.14500217717,88732.87268102894,85295.46256099416,84098.48031416658,85799.99013959171
751,85082.82217966308,90910.01522706417,84137.48384732814,84774.29118282988,86226.15310922131
761,85131.83246238614,90635.6662314292,80987.72654652805,83101.57449960163,84964.19993498626
771,86483.62476150977,88977.34904169878,84833.80776695702,82774.20688835975,85767.24711463133
781,85962.75680853322,88847.69697611641,86717.28890069581,82558.03571292033,86021.44459956643
791,87036.90358222892,89215.03233825492,85088.57847123692,81133.80244340838,85618.57920878229
801,86328.86145546376,88534.98396305939,85088.57847123692,86658.20497599962,86652.65721643993
811,88207.54242228794,87943.05371580005,83315.17677569199,87853.65062103701,86829.85588370424
821,87721.89071583166,87186.14528261224,85661.26847257238,85760.86878953416,86582.5433151376
831,87292.86217061323,87083.6011865619,85922.87826470073,87816.02340176249,87028.84125590959
841,88955.97103021017,87225.73060941126,84636.5074785715,87924.01254759527,87185.55541644705
851,86760.52897827857,88347.01248744364,84636.5074785715,88928.65390860973,87168.17571322585
861,86825.76305577384,87462.23892593631,86027.89534805986,87471.66587752147,86946.89080182287
871,88095.38258705846,85855.969636086,85452.69867745477,87673.74640671731,86769.44932682914
881,88808.67961938203,87646.90039408061,85826.39715181864,88612.85129599833,87723.7071153199
891,89132.9829812666,86772.59121856664,86382.79169267543,86422.83605046727,87177.80048574398
901,85742.74266569299,87493.33162888279,86737.76835368974,89478.85568965027,87363.17458447895
911,85486.71923521801,87062.607224461,86746.34597488568,86974.19598706895,86567.4671054084
921,83656.17922441658,87206.16309062841,84329.32934309456,84208.80885134415,84850.12012737093
931,83766.05608600605,86999.73158415206,85670.80287644001,84208.80885134415,85161.34984948557
941,87264.91058747661,87549.36561793332,88243.94989593262,84996.30939675056,87013.63387452328
951,86286.46146609783,88803.01714494693,90121.42235686487,83221.89490346887,87108.19896784463
961,88677.59213891963,86848.70851639804,87996.99840167417,85705.43575773205,87307.18370368096
971,86248.51874357993,86291.58158692178,84858.36723057611,85553.40321914725,85737.96769505627
981,87734.81106135856,87322.98180487801,85884.45480779228,87849.06641644631,87197.82852261879
991,88415.38091736344,85945.64093979736,88528.09600307977,87955.57882482692,87711.17417126687
1001,87533.08746017709,87832.52570124865,85612.6885950486,88169.56619747536,87286.96698848743
1011,84977.86570557063,88482.52674695947,88592.16732947993,88167.3661435331,87554.98148138578
1021,84977.86570557063,87889.78119435627,84582.27197978733,89741.99007500167,86797.97723867897
1031,87219.79674980961,86589.64423812303,83165.46574736902,87488.21748376296,86115.78105476615
1041,89404.06834439668,86225.05247679084,86220.03381806279,86839.2852496447,87172.10997222376
1051,87781.13366201504,86675.35262513028,85556.05565567742,89349.55549249891,87340.52435883041
1061,88501.79724113262,88497.2530673086,87145.38016848866,89932.31822676398,88519.18717592346
1071,82711.81953694462,86568.64476172968,82242.02766093567,88479.95317167242,85000.6112828206
1081,88226.83113230242,84373.53509038164,84383.46793973974,88128.27201178556,86278.02654355235
1091,84885.8802620782,86418.60851506348,88239.87584647426,86169.89383470078,86428.56461457917
1101,85918.3210086086,85718.43471558773,87725.73754870027,86416.36815398406,86444.71535672016
1111,86701.91403305365,85984.9370532079,90627.97295752376,87649.15983958571,87740.99597084276
1121,84609.46049730798,86352.18319991953,89614.66005423882,89066.41790453113,87410.68041399936
1131,86319.32318200324,86007.18163720609,90575.00182586187,89228.10027641241,88032.40173037091
1141,85302.48524698468,88153.99929266697,89760.53997577341,86775.91444061455,87498.2347390099
1151,84617.29702079177,87806.49666126358,87321.7030312281,89033.65340740822,87194.78753017291
1161,85221.27415255296,88157.17268016665,89478.7536563468,88838.7325159895,87923.98325126398
1171,83740.31776093451,86751.27842528773,83794.33685075161,88169.07256289023,85613.75139996603
1181,88836.94522427824,87370.40781273648,86644.21023186823,88205.67890311588,87764.31054299971
1191,89266.69291969067,85298.91865250006,86394.06075690612,87145.93269120867,87026.40125507637
1201,87859.61222438498,87269.20857099502,84928.58487059554,86605.42936135853,86665.70875683351
1211,89117.50569708875,88523.49648527044,87791.32103588429,84472.71519494263,87476.25960329652
1221,87510.16363467845,88097.16274783903,89152.07447223668,82750.85506429987,86877.56397976351
1231,87878.43220623945,90637.45025940414,87256.94138556263,84691.026506319,87615.9625893813
1241,88938.32875342491,86176.38736044108,85030.11707193017,84405.47680406868,86137.5774974662
1251,87771.85981600445,85678.24885672728,87819.34066595629,83511.82579966028,86195.31878458707
1261,88811.15012283692,87914.88280187441,86158.4938841487,84821.9507215002,86926.61938259006
1271,84693.98369254197,88247.74354108774,87739.18613995932,84071.54738434631,86188.11518948383
1281,89601.99712175317,86651.86178837354,86619.49311007895,88836.97705554076,87927.58226893662
1291,88227.45547028049,86607.4830385885,89018.18704505496,86795.14984255352,87662.06884911937
1301,88280.68091613702,90291.22909757079,87785.99077232816,85596.20464225658,87988.52635707313
1311,88451.16358510424,90288.290164922,87785.99077232816,85508.0796381086,88008.38104011575
1321,89501.33787595615,88137.72269663752,85592.6159898702,86854.96424754334,87521.66020250181
1331,87558.22787986037,89704.89272914504,88776.6587060512,86280.34729519262,88080.03165256229
1341,87028.83048561987,87307.83945316967,86376.444650029,82279.31584984636,85748.10760966623
1351,84697.59425922552,84594.71661043995,86013.67064405195,86366.06308784944,85418.01115039171
1361,86942.49054064727,87438.79606212363,84696.17168170944,85833.5975177974,86227.76395056944
1371,87384.56343612215,85893.70606998539,86484.04143945622,83818.99860175655,85895.32738683009
1381,89711.12798137887,85567.26645980534,87609.79317437099,88643.14076952323,87882.8320962696
1391,89195.46737303062,88142.06414556134,87361.82195990972,88177.35468034157,88219.1770397108
1401,86052.26946511414,88279.4072070133,87190.35585627776,90351.00110068501,87968.25840727254
1411,87689.63702700521,87997.3450773083,89655.91657767809,87638.93375352104,88245.45810887817
1421,87917.424700924,87227.6344813259,88846.6974212167,89188.40575199967,88295.04058886657
1431,85716.70969567129,86721.21880947222,88886.78613064498,86479.57436178082,86951.07224939232
1441,85721.59227547703,85876.98435961045,87498.74059926557,87637.33450890436,86683.66293581435
1451,86456.57431767744,87173.74288362688,88209.67832765503,89137.46108723992,87744.3641540498
1461,86101.22575069718,87024.60431888864,88774.51664839093,88299.15004245508,87549.87419010795
1471,88295.32920766097,86502.27168611159,84813.07198039896,87830.8211361024,86860.37350256849
1481,85626.78717937328,84494.03150633832,86686.91732635772,87254.36054836908,86015.5241401096
1491,87806.5815964515,83851.95920946091,83006.78820340241,86726.82155652932,85348.03764146104
