,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
611,33350.5969102565,31790.142401582776,35044.47712511491,31169.013977253613,32838.55760355195
621,33144.92602311363,31709.628109862468,34871.71806896229,30876.997982930377,32650.81754621719
631,32940.48898926934,31709.628109862468,34749.59821945137,30786.0535886198,32546.442226800747
641,32411.03043225898,31669.667817663045,34479.27626146334,30627.607307801638,32296.89545479675
651,32411.03043225898,31669.667817663045,34437.22766292125,30627.607307801638,32286.383305161227
661,32411.03043225898,31408.30927320175,34437.22766292125,30237.253188887917,32123.455139317473
671,32411.03043225898,31224.449551135138,34437.22766292125,30075.89531679906,32037.150740778605
681,32411.03043225898,31224.449551135138,33613.54041069042,29897.512828427287,31786.633305627955
691,32073.664376666038,31111.920308073353,33613.54041069042,29897.512828427287,31674.15948096427
701,31994.422843890654,31067.95302557319,33613.54041069042,29732.182418031647,31602.024674546476
711,31994.422843890654,31067.95302557319,33613.54041069042,29376.376775513167,31513.073263916856
721,31691.357072934108,31067.95302557319,33462.52561169635,29376.376775513167,31399.553121429206
731,31230.155994028628,30962.035239556542,33098.01293824674,29121.060909029617,31102.816270215382
741,31230.155994028628,30962.035239556542,33098.01293824674,29119.374287696173,31102.39461488202
751,30435.985945410383,30962.035239556542,33096.459956289225,29119.374287696173,30903.463857238083
761,30391.387707786518,30962.035239556542,33026.93970982004,29119.374287696173,30874.93423621482
771,30391.387707786518,30962.035239556542,32905.81039476195,29083.679518096484,30835.728215050374
781,30058.274508892035,30962.035239556542,32905.81039476195,28910.284512207643,30709.101163854542
791,30058.274508892035,30962.035239556542,32905.81039476195,28910.284512207643,30709.101163854542
801,30048.78640737625,30903.27742462029,32905.81039476195,28868.68536096306,30681.63989693039
811,29693.514403772155,30903.27742462029,32386.07876471048,28868.68536096306,30462.888988516497
821,29693.514403772155,30754.81482788126,32386.07876471048,28868.68536096306,30425.77333933174
831,29693.514403772155,30593.219469898107,32386.07876471048,28800.187236455764,30368.249968709126
841,29693.514403772155,30200.990995659828,32386.07876471048,28800.187236455764,30270.192850149557
851,29239.897882446206,30200.990995659828,32386.07876471048,28576.10370915142,30100.76783799198
861,29239.897882446206,30200.990995659828,32342.031046524324,28533.144927750745,30079.016213095278
871,29239.897882446206,30200.990995659828,32342.031046524324,28190.200407087857,29993.280082929556
881,29239.897882446206,30173.26948690307,32313.786863863985,28190.200407087857,29979.288660075283
891,29239.897882446206,29716.14367525559,31976.476247908355,27957.20340111549,29722.430301681412
901,29239.897882446206,29716.14367525559,31976.476247908355,27957.20340111549,29722.430301681412
911,28812.08832482433,29716.14367525559,31976.476247908355,27801.71816698459,29576.606603743217
921,28790.17266293785,29716.14367525559,31976.476247908355,27649.273245452066,29533.016457888465
931,28783.950000734916,29587.641831007517,31976.476247908355,27649.273245452066,29499.335331275717
941,28783.950000734916,29587.641831007517,31976.476247908355,27485.34454898774,29458.353157159632
951,28783.950000734916,29510.91131587714,31976.476247908355,27409.625355468066,29420.240729997116
961,28521.910403016926,29478.78996855904,31921.090587466166,27286.294827479553,29302.02144663042
971,28499.510026307216,29478.78996855904,31798.166308450476,27286.294827479553,29265.69028269907
981,28394.92828928661,29236.68327145113,31798.166308450476,27286.294827479553,29179.018174166944
991,27989.5894107808,29236.68327145113,31798.166308450476,27138.152971925454,29040.647990651967
1001,27989.5894107808,29125.06123670701,31790.376782787695,27026.857745939902,28982.971294053852
