,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
701,33783.1675507344,34426.61578392415,37102.494769528996,37176.14697140815,35622.10626889892
711,33783.1675507344,34310.28726192721,36608.56365035206,36843.85929373253,35386.46943918655
721,33695.83699869307,34310.28726192721,36608.56365035206,36843.85929373253,35364.63680117622
731,33695.83699869307,34119.88354950392,36607.0075372187,36784.32188682968,35301.76249306134
741,33695.83699869307,33715.302724588626,36607.0075372187,36723.79564960459,35185.48572752625
751,33581.050775579555,33715.302724588626,36305.97552690425,36601.01722089039,35050.836561990705
761,33515.92783881395,33607.58610858256,36305.97552690425,36518.782664702165,34987.06803475073
771,33381.705304342766,33515.164159088235,35788.168588878034,36127.79061977847,34703.20716802188
781,33381.705304342766,33374.491827845915,35759.03874947938,36127.79061977847,34660.75662536163
791,33369.38515983349,33374.491827845915,34655.99044343637,36127.79061977847,34381.91451272356
801,33189.32318431681,33374.491827845915,34655.99044343637,36021.80525413892,34310.402677434504
811,33185.87739571697,33246.466475383255,34655.99044343637,35931.9972076698,34255.0828805516
821,33069.036988464286,32914.844397374596,34655.99044343637,35433.12430469305,34018.24903349207
831,32802.8584343016,32601.386759832996,34655.99044343637,35433.12430469305,33873.339985566
841,32802.8584343016,32601.386759832996,34655.99044343637,34961.13534616534,33755.342745934075
851,32742.520546405376,32601.386759832996,34655.99044343637,34961.13534616534,33740.25827396002
861,32382.487691171642,32586.36218508981,34655.99044343637,34830.31794931771,33613.78956725388
871,32382.487691171642,32369.50436151574,34655.99044343637,34830.31794931771,33559.57511136037
881,32287.573408454573,32369.50436151574,34537.56848290791,34750.81476257399,33486.365253863056
891,32269.329809205654,32312.439960815806,34537.56848290791,34512.79607991318,33408.033583210636
901,32269.329809205654,32159.570801499653,34537.56848290791,34512.79607991318,33369.8162933816
911,32144.128621573964,32159.570801499653,34521.544630260476,34512.79607991318,33334.51003331182
921,32144.128621573964,32159.570801499653,34521.544630260476,34512.79607991318,33334.51003331182
931,32143.290964921838,32159.570801499653,34251.57492265124,34348.50176983997,33225.73461472817
941,32008.462605951605,32159.570801499653,34119.59228010515,34113.58529105901,33100.302744653854
951,32008.462605951605,32159.570801499653,34032.85803140266,34023.1936119378,33056.021262697934
961,32008.462605951605,31544.894755401398,34032.85803140266,33869.465625710756,32863.920254616605
971,32008.462605951605,31544.894755401398,34032.85803140266,33869.465625710756,32863.920254616605
981,31960.504197590013,31544.894755401398,34032.85803140266,33772.303974566996,32827.64023974027
991,31960.504197590013,31360.79284102809,34032.85803140266,33692.02898182024,32761.54601296025
1001,31740.96676140822,31128.630177604973,34032.85803140266,33439.97833944567,32585.60832746538
1011,31502.279287645284,31066.223203336212,34006.295139859096,33358.07400393956,32483.21790869504
1021,31463.815466015905,31066.223203336212,33725.61388013306,33358.07400393956,32403.431638356185
1031,31337.077026296385,31066.223203336212,33722.30528162417,33358.07400393956,32370.919878799083
1041,31337.077026296385,31000.74703208125,33609.46142674491,33294.069731778996,32310.338804225386
1051,31337.077026296385,31000.74703208125,33609.46142674491,33294.069731778996,32310.338804225386
1061,31197.91200940812,30894.695707636714,33522.867381665594,33214.21405198142,32207.422287672962
1071,31029.292739563796,30788.15201964943,33522.867381665594,32748.945254531936,32022.314348852688
1081,31024.804523675266,30788.15201964943,33413.5893242686,32748.945254531936,31993.872780531306
1091,30980.386560777144,30788.15201964943,33357.68842129335,32748.945254531936,31968.793064062967
1101,30980.386560777144,30788.15201964943,33357.68842129335,32684.78199687694,31952.752249649217
1111,30980.386560777144,30747.485182205583,33147.25297333755,32684.78199687694,31889.976678299303
1121,30980.386560777144,30723.761758885154,33128.859913411645,32625.244589974096,31864.563205762013
1131,30980.386560777144,30671.073577311185,32910.36001951415,32625.244589974096,31796.766186894143
1141,30572.589471700023,30656.382439623587,32910.36001951415,32625.244589974096,31691.144130202963
1151,30420.080134303145,30511.969236503188,32910.36001951415,32428.089439565803,31567.624707471572
1161,30207.012132440097,30511.969236503188,32910.36001951415,32410.562878933648,31509.97606684777
1171,30207.012132440097,30505.130021276418,32910.36001951415,32410.562878933648,31508.266263041078
1181,30207.012132440097,30152.912759906852,32412.995757267003,32272.87328513529,31261.44848368731
