,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
251,81119.22382025699,85841.32274358798,87722.49108323608,83150.3599944918,84458.3494103932
261,81537.81029554762,84585.67234071867,87874.62129215024,78920.26549463846,83229.59235576374
271,81023.51317913263,81176.39661833465,86023.25951653467,77932.14872466131,81538.82950966583
281,81130.2239494134,81266.9270065607,84457.8223227308,81034.1097724589,81972.27076279095
291,83578.52465498123,83541.08970675217,84228.26839697467,83908.43849950907,83814.08031455429
301,81112.2022484845,84017.4017038865,88539.86292220985,81331.52066451522,83750.24688477401
311,80118.12257387448,80686.34730466921,87933.03357240699,81573.12733304883,82577.65769599988
321,78871.8093331499,80833.4587437066,86862.31370643676,83345.06002325309,82478.16045163659
331,78852.78139661677,81391.57359297016,84004.54209983454,84164.64835342181,82103.38636071082
341,82946.1865178866,85216.26042113084,81597.86777387095,83599.10466053682,83339.8548433563
351,83133.7020623254,86154.14405498048,82362.09224378565,83223.70228513666,83718.41016155705
361,83133.7020623254,86025.41425809749,84256.67208839855,85271.99594194062,84671.94608769052
371,82449.20827802987,84160.80297431095,83164.94790185058,85835.11872975981,83902.5194709878
381,83834.4045391565,85218.89985200601,87161.99607803667,86776.14743638133,85747.86197639513
391,84429.04364499026,83815.03520465513,84641.53237131015,85580.21011371784,84616.45533366835
401,83097.45121464485,83732.99189376601,85210.32221820678,82498.15752209931,83634.73071217924
411,81360.72927408031,85158.99553202209,87305.00083526291,84159.09927311023,84495.95622861889
421,83258.491859676,84488.05108764453,85871.697038166,83709.57903173969,84331.95475430656
431,84040.17716922204,82709.854298084,85151.03192303138,83192.02824284573,83773.27290829578
441,84578.72413788817,84964.3633638389,87004.12152247589,85234.97990468108,85445.54723222101
451,80475.91866887314,80936.29699670183,89083.29986861661,85305.21008318303,83950.18140434365
461,81710.52147851027,78584.89932174816,85719.43190044462,85116.30289121714,82782.78889798005
471,84637.41223013087,77596.5951831672,85184.624228645,84630.33404201595,83012.24142098975
481,85184.17322753883,78053.79704463336,84505.90134031796,84564.67188454453,83077.13587425867
491,85843.47240588456,80712.76306331683,85567.54442786692,84158.68161992574,84070.61537924851
501,85252.81148669698,82402.37873076403,82322.53785162243,83502.79228491637,83370.13008849997
511,84437.09721702049,80500.49958944645,82066.65903112995,82797.89773110366,82450.53839217513
521,85026.02675376204,83290.44202754111,83111.98048859036,84248.03727672795,83919.12163665537
531,88057.03805513872,82081.43712402169,82138.31810754046,86359.87339091596,84659.1666694042
541,82937.95510019851,83008.4466835871,83797.458315525,87194.05127910123,84234.47784460295
551,85743.28087389255,82069.64297123677,81982.63430662325,87942.760121431,84434.57956829589
561,84809.11814221078,80156.17942313127,80461.949315498,86465.49702809202,82973.18597723302
571,86628.12147297058,79885.55587130332,79925.59940844792,86371.46240634868,83202.68478976762
581,87240.9340685361,80253.3579219771,79568.6960757707,82024.09838083341,82271.77161177933
591,87798.51003024977,81185.49241582605,83076.28774750879,84674.73809732104,84183.75707272641
601,87376.47213075894,82799.55569477128,82452.30574820035,81456.50126961291,83521.20871083587
611,83434.93551415826,80531.54807385975,82550.30805591239,83963.24130434131,82620.00823706793
621,84139.47850152805,81079.3493266799,82345.11402056516,83337.7518167897,82725.4234163907
631,86855.18467286775,79784.44422589638,80123.33837367177,84359.84289517325,82780.70254190228
641,87611.1648040011,79793.55013896739,81531.3005924677,84410.7912374785,83336.70169322868
651,87499.64459518004,80517.92035768497,83638.45482535756,84061.27186501907,83929.32291081041
661,86320.0466175901,84789.64159325622,85390.75165318692,82854.69037307167,84838.78255927624
671,86025.82619440989,81902.34805049749,85181.26883802198,84606.8903469866,84429.08335747899
681,85678.99780176244,83813.35334879934,82294.97703931849,84199.49954197944,83996.70693296492
691,85845.45005181273,81838.47862379382,84250.0231379884,81888.76847787769,83455.68007286816
701,84452.15041362018,80597.96597564202,84078.77974456969,84407.91778703853,83384.2034802176
711,84405.29779417165,80189.43958519313,81558.08078378675,83822.23904641283,82493.7643023911
721,85363.12914580599,81597.01931500931,82420.09566341146,82407.90181270456,82947.03648423283
