,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
671,44223.582036114436,40262.59898714815,40592.28457070129,42937.89598927484,42004.090395809675
681,44223.582036114436,40262.59898714815,40592.28457070129,42830.59130552617,41977.26422487251
691,44223.582036114436,39999.10749629736,40449.68065682859,42827.41518598755,41874.94634380698
701,44194.5047296172,39676.86307591422,40449.68065682859,42827.41518598755,41787.11591208689
711,43615.26167442031,39676.86307591422,39733.63838074145,42369.576838927416,41348.83499250085
721,43615.26167442031,39676.86307591422,39706.13186715744,42369.576838927416,41341.95836410485
731,43615.26167442031,39529.83012049975,39332.97877518217,42369.576838927416,41211.91185225741
741,43496.710556709906,39529.83012049975,39173.82604021429,42233.69232342769,41108.51476021291
751,43323.720201064636,39408.02337134345,39173.82604021429,41998.09517331608,40975.91619648461
761,43323.720201064636,39408.02337134345,39173.82604021429,41961.711059618814,40966.820168060294
771,43323.720201064636,39331.07579055802,39173.82604021429,41688.803271058474,40879.35632572386
781,43323.720201064636,39331.07579055802,39106.876135459475,41688.803271058474,40862.61884953515
791,43323.720201064636,39301.36235416972,37819.600528882016,41688.803271058474,40533.371588793714
801,43323.720201064636,38927.988466313975,37819.600528882016,41517.36802672814,40397.16930574719
811,43249.37638592,38018.08050351833,37255.491101597276,41517.36802672814,40010.07900444094
821,42762.37679538282,38018.08050351833,37255.491101597276,41209.64234081334,39811.397685327946
831,42217.060747249685,38018.08050351833,37255.491101597276,41072.55142013574,39640.79594312525
841,42217.060747249685,37965.34897830093,37255.491101597276,41072.55142013574,39627.613061820906
851,42217.060747249685,37965.34897830093,37255.491101597276,41072.55142013574,39627.613061820906
861,42214.640701190954,37965.34897830093,37255.491101597276,40957.25646592421,39598.18431175334
871,42150.26481516558,37965.34897830093,36963.84368766349,40564.72987264374,39411.046838443435
881,41408.87662671465,37810.548245465565,36702.23467812118,40564.72987264374,39121.59735573628
891,40555.76332397667,37560.21252295918,36674.78822957657,40536.74595777867,38831.877508572776
901,40555.76332397667,37463.37711177721,36276.502642279695,40355.68354554911,38662.83165589567
911,40555.76332397667,37463.37711177721,36276.502642279695,40086.511006574845,38595.538521152106
921,40555.76332397667,37463.37711177721,36276.502642279695,40086.511006574845,38595.538521152106
931,40555.76332397667,37463.37711177721,36276.502642279695,40086.511006574845,38595.538521152106
941,40342.31677776384,37463.37711177721,35556.31505736946,39847.91042983775,38302.479844187066
951,40342.31677776384,37368.11593518713,35556.31505736946,39847.91042983775,38278.664550039546
961,40342.31677776384,37368.11593518713,35425.94329336459,39847.91042983775,38246.07160903833
971,40174.75237159155,37368.11593518713,34254.17914880007,39847.91042983775,37911.23947135413
981,39827.7662775614,37368.11593518713,34254.17914880007,39847.91042983775,37824.49294784659
991,39798.37542176504,37368.11593518713,34254.17914880007,39847.91042983775,37817.14523389749
1001,39693.36206382288,37368.11593518713,34254.17914880007,39758.63543060385,37768.57314460348
1011,39541.183113471525,37296.71163639439,34254.17914880007,39758.63543060385,37712.67733231746
1021,38911.79495773065,37192.625380422105,34254.17914880007,39747.29463093396,37526.473529471696
1031,38911.79495773065,37192.625380422105,33912.064652439105,39332.355813149305,37337.2102009353
1041,38911.79495773065,36521.91383860564,33629.186979080834,39144.586023077536,37051.87044962367
1051,38604.14805272848,36521.91383860564,33629.186979080834,39104.1809747564,36964.857461292835
1061,38604.14805272848,36521.91383860564,33629.186979080834,38388.1681884252,36785.85426471004
1071,38604.14805272848,36521.91383860564,33546.73983346589,38388.1681884252,36765.2424783063
1081,38604.14805272848,35579.9368267449,32529.202521648487,38388.1681884252,36275.363897386764
1091,38604.14805272848,35155.78664786028,32529.202521648487,38388.1681884252,36169.32635266561
1101,38604.14805272848,35155.78664786028,32529.202521648487,38303.47662181571,36148.15346101324
1111,38604.14805272848,35155.78664786028,32529.202521648487,37858.129398353914,36036.81665514779
1121,38604.14805272848,35155.78664786028,32529.202521648487,37858.129398353914,36036.81665514779
1131,38604.14805272848,35155.78664786028,32529.202521648487,37858.129398353914,36036.81665514779
1141,38604.14805272848,35155.78664786028,32529.202521648487,37858.129398353914,36036.81665514779
1151,38604.14805272848,35155.78664786028,32474.456761480727,36845.61021669013,35770.0004196899
1161,38604.14805272848,34861.05066837144,32474.456761480727,36673.72502472224,35653.34512682572
1171,38232.940002681615,34861.05066837144,32474.456761480727,36673.72502472224,35560.54311431401
1181,38232.940002681615,34861.05066837144,32474.456761480727,36673.72502472224,35560.54311431401
1191,38232.940002681615,34756.522101903254,32474.456761480727,36473.80852848441,35484.431848637505
1201,38038.228660307774,34756.522101903254,32474.456761480727,36395.76064000373,35416.24204092387
1211,38036.026082620694,34562.16518929908,32389.644845550047,36032.61143569219,35255.1118882905
1221,37977.002519925234,34506.478928791745,32262.47416778495,36032.61143569219,35194.64176304853
1231,37952.051676486866,34506.478928791745,32262.47416778495,36027.64215920309,35187.16173306666
1241,37538.00992854233,34437.823301935634,32262.47416778495,36027.64215920309,35066.4873893665
