,Run #1 BSF,Run #2 BSF,Run #3 BSF,Run #4 BSF,Average BSF
311,88517.69725774405,85322.61736527855,89053.78010243,88051.10026014193,87736.29874639864
321,86271.2180605514,87596.48717738657,87578.70417210947,85350.82908329823,86699.30962333642
331,86310.32062514046,85476.61251010137,86701.46473814739,85605.24262571789,86023.41012477678
341,85122.22124157147,86908.11440765303,87670.08055216564,82860.88572454861,85640.32548148469
351,90060.86493828926,85830.08599972629,87587.95563100459,84009.54755277938,86872.11353044987
361,89014.66490692401,88086.50347637584,86557.55772706766,81250.00893818442,86227.18376213798
371,89072.90978267204,85168.80278557545,80574.20192127208,84179.86919416153,84748.94592092026
381,85854.7027713814,82686.0190670578,87739.53152765462,83722.45811096033,85000.67786926354
391,85462.91245835276,84660.64416978421,87747.17028309123,85901.16558615277,85942.97312434524
401,87573.3708003275,80800.22969354257,89831.48232295726,85916.97821616668,86030.5152582485
411,83623.89132832456,81593.83070584931,88388.46483622432,83752.90210375767,84339.77224353896
421,86762.99414176263,84223.74008842916,88135.34201230531,83752.90210375767,85718.7445865637
431,86943.86740317149,82895.61084615962,88909.25508573445,85938.83519063253,86171.89213142452
441,86651.56744315605,82300.41327004788,88595.53633565368,87067.4767095971,86153.74843961367
451,86334.33158708773,85225.83272974224,89203.70558818748,86150.05272357872,86728.48065714903
461,87792.96439809835,87412.50237646229,85987.44539192817,89280.68097422461,87618.39828517835
471,86085.87723245684,83404.12109382852,84252.66207619644,87693.23613024243,85358.97413318105
481,86024.66127477055,85738.25366966557,89702.23570330246,88820.67117314052,87571.45545521978
491,87201.32781177422,86520.82328434505,85834.9598495969,86819.9088281567,86594.25494346822
501,83942.86974077333,84428.90435183664,85917.16069420819,84673.95834414737,84740.72328274138
511,85196.99249753875,82424.41614563607,86965.72245255475,87026.59070392261,85403.43044991305
521,83841.43474001507,83439.64990096077,83653.32824945298,88062.62772198126,84749.26015310251
531,86279.80158520813,85716.90211028638,83653.32824945298,87638.36705969527,85822.09975116068
541,88061.91892956571,88867.15818293246,85650.19417525474,88292.18417540417,87717.86386578926
551,85558.45645460441,88882.95173897436,85941.69021698507,86136.9998490146,86630.02456489461
561,87332.09193239835,86065.56004343709,86687.90849657673,84763.73735324571,86212.32445641447
571,86273.05495345866,87314.19821662865,88830.36539637798,85578.26716331037,86998.97143244391
581,84483.16472952375,85374.54142508251,87126.44527810243,84755.7040265215,85434.96386480753
591,84897.66998488031,86082.20497766678,87367.83354982243,81887.34816346626,85058.76416895895
601,85233.40177726626,83866.03573019856,90179.28966557514,85557.31084000386,86209.00950326095
611,86342.60509306312,84212.81125051632,90847.52355251518,85264.95636542507,86666.97406537992
621,84278.83850758216,84153.15850884607,88227.72621898359,83145.88773037313,84951.40274144623
631,82982.38700015358,85743.88594227242,88900.85895846199,85646.54856859121,85818.4201173698
641,84384.31327736036,84411.73581623484,88591.17845597117,84192.47263480398,85394.92504609258
651,83350.34373175098,87101.60038271334,85771.12935149505,86053.26343031504,85569.08422406862
661,83375.02946542844,84184.69505251429,84436.48572546215,88248.36744326315,85061.144421667
671,84191.58116251994,83374.65636026065,83125.18601295596,85671.42037058034,84090.71097657923
681,85242.87314952908,85620.27882599854,86195.17767558484,86145.92173874621,85801.06284746468
691,85514.4450927844,85620.27882599854,84551.7350477411,84169.176622663,84963.90889729676
701,86475.10383874647,86987.9006527175,85605.23850607779,85477.19636429597,86136.35984045942
